PubName,Longitude,Latitude
"White Bear",-0.00707670000002,51.325141
"The Lansdown",-2.0900359,51.8938189
"The Balmoral",-1.1221236,52.6508082
"The Plough",-0.2499027,51.2082807
"Blackwood Arms",-0.6497371,51.5677757
"Cherry Tree",-1.1358002,52.6375451
"The Salmon",-1.1359389,52.6381639
"The Straw Hat",-2.9230582,53.2656006
"The Bridle Lane Tavern",-1.1266324,52.6438921
"The Lord Nelson",1.1608055,52.0535193
"The Bell Inn",1.2348837,52.065952
"Waterman",0.1254885,52.2141817
"Sir Isaac Newton",0.1120577,52.2134588
"The Punter",0.113247,52.2105324
"Carpenters Arms",0.1141884,52.2157657
"Boat Inn",-1.2026228,52.7785341
"Albion Inn",-1.213865,52.7774106
"The Gate",-1.2019158,52.7772875
"The Winchfield Inn",-0.9055833,51.2852773
"Quorndon Fox",-1.1731221,52.7439916
"The Old Oak",-0.1873293,51.227235
"The Elm Shades",-0.1783112,51.2285044
"The Orange Tree",-0.1929004,51.9904354
"The Marquis",-2.942621,53.2768972
"Bull PH",-2.8381931,53.037053
"The White Lion",-2.5262642,51.6083483
"The Shipwreck",1.2755727,51.9573495
"The Bristol Arms",1.2675855,51.9556528
"Baron of Beef",0.1181553,52.2089348
"The Mitre",0.1182051,52.2088653
"Portland Arms",0.1245839,52.2144345
"The Snug",0.1229043,52.1979169
"Champion of the Thames",0.1244235,52.207293
"Prince Regent",0.1271614,52.1998613
"The Castle",0.1236555,52.2030223
"The Regal",0.1237449,52.2029403
"D'Arry's Wine Shop",0.1219277,52.2072198
"Revolution",0.1231099,52.2033631
"The Red Lion",-0.2629639,51.240248
"The Red Lion",-1.2932726,51.783611
"The Live and Let Live",1.1525762,52.0406502
"The Kings Head",1.436984,52.4562575
"Victoria Jubilee",-1.1150834,52.6542593
"the Melton",-1.1167445,52.6568787
"The Eight Bells",-0.2100801,51.4680235
"The Larrik Inn",-0.2100687,51.4691887
"The Waterside",-0.1811249,51.4728364
"Durham Ox",-1.1198431,52.6432377
"The Travellers Rest",-2.9473513,53.2841902
"The Cheshire Yeoman",-2.965699,53.2804223
"The White Lion",-2.9543648,53.292243
"The Hooton",-2.9755871,53.2978448
"The Fat Cat",1.1810749,52.0591301
"The Old Times",1.1824744,52.0589696
"The Brickimaker's Arms",1.1878514,52.0594333
"The Lattice Barn",1.1927251,52.0601559
"The Alex",1.3505699,51.95989
"The George IV",-0.1879983,51.9757018
"The Old White Horse",-0.1869612,51.9914509
"The Engine",-0.187401,51.9918473
"The Black Horse Hotel",-1.6946046,53.9057132
"The Hatch",-0.1822059,51.2376194
"Halfway Inn",-3.0402307,53.1106794
"Cross Foxes",-3.0370304,52.8943516
"The Hart & Trumpet",-3.0384049,52.8940524
"Three Horseshoes Inn",-0.2129708,51.2018411
"The Black Horse",-2.5164544,51.6073174
"The Gate",-0.249381,51.121754
"The Lamb Inn",-0.2587108,51.1176972
"The Malt Shovel",-0.3310802,51.06469
"The Lynd Cross",-0.3323018,51.063729
"New Inn",-1.0761476,52.5969216
"The Fox Inn",-1.0797946,52.5978145
"The Black Dog",-1.0796163,52.5977669
"The Black Tiles",1.2724228,52.0701547
"Green Dragon",0.1454823,52.2179459
"The Old Library",-1.0834188,52.5986206
"The Wheel Inn",-1.0756749,52.5968053
"The Delme Arms",-1.1659599,50.8528645
"The Roundabout Hotel",-1.1672356,50.8539475
"The Cob & Pen",-1.1721898,50.8573062
"The Aston",-2.3901164,52.7539154
"The Wheatsheaf",-2.9230582,53.2828716
"The Jolly Brewers",0.1647467,52.2439549
"The Lion & Lamb",0.1619247,52.2437742
"Waggon & Horses",0.1633606,52.2447356
"New Inn",0.7080355,50.9246578
"The Boot",-0.1848422,51.9862359
"The Cock",-0.1858948,51.9871917
"Rose and Crown",-0.1883092,51.9900158
"The Victoria",-0.1886386,51.9902052
"The Three Tuns",-0.5083914,52.1383559
"Live and Let Live",-0.7946783,51.6175522
"The Chequers Inn",-1.1034695,51.6444064
"Kingfisher Inn",-1.1415016,51.6310333
"The White Lion",-0.1871914,51.9876552
